Method,Learning Rate,MSE,R² Score,Train Time (s)
GD (α=0.0001),0.0001,39119583718.173904,-1.9852957639750186,0.1969923973083496
GD (α=0.001),0.001,6898053573.156,0.4735953669658166,0.1810011863708496
GD (α=0.01),0.01,5060312734.834244,0.61383714406267,0.19099736213684082
GD (α=0.05),0.05,5029243723.233779,0.616208084136827,0.194000244140625
